"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:GE:GI:C0:MC0:GI031",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:MS:C4:MC4:MS046",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:ML:C14:MC12",3,3,15,0,0.00170053268167941,0,0.666666666666667
"Num:AR:FC:C6",8,8,259,0,0.000904944245525689,0,0.178571428571429
"Num:AR:MO:C5:MC5",4,4,30,0,0.00187153400084448,0,0
"Num:AR:NS:C2:MC1:NS030",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:DI:C19:MC19",3,3,0.666666666666667,0,0.00170356360250957,0,0.666666666666667
"Num:AR:TI:C1:MC1:TI024",1,1,0,0,0.000723983390206914,0,NA
"Num:GE:GI:C1:MC1:GI003",1,1,0,0,0.000735532487997495,0,NA
"Num:ST:DH",9,9,198,0,0.00156009150927525,0,0.305555555555556
"Num:AR:AT:C7:MC7:AT027",1,1,0,0,0.000842610083142513,0,NA
"Num:AR:TI:C1:MC1:TI045",1,1,0,0,0.000723983390206914,0,NA
"Num:ST:DH:C1:MC1:DH284",1,1,0,0,0.000816380037624107,0,NA
"Num:AR:NS:C10:MC8:NS066",1,1,0,0,0.000791059940136533,0,NA
"Num:GE:PS:C2:MC2:PS066",1,1,0,0,0.000770960750929987,0,NA
"Num:AR:FC:C26",8,8,130.5,0,0.000894286538074978,0,0.285714285714286
"Num:AR:NS:C5:MC5:NS117",1,1,0,0,0.000893829233479719,0,NA
"Num:AR:FC:C22:MC20",4,4,132,0,0.00125867252690917,0,0.333333333333333
"Num:AR:MO:C2",4,4,29.65,0,0.00121721998088056,0,0.333333333333333
"Num:GE:GI:C1:MC1:GI053",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:WT:C3:MC3",19,19,259.333333333333,0,0.00102185013142986,0,0.0701754385964912
"Num:GE:GI:C1:MC1:GI066",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:AT:C2:MC0",10,10,46.7055555555556,0,0.00085589678872339,0,0.0222222222222222
"Num:GE:GI:C0:MC0:GI192",1,1,0,0,0.000766293188745355,0,NA
"Num:GE:GI:C1",3,3,575,0,0.00135194533636019,0,0.333333333333333
"Num:AR:SB:C0",3,3,20,0,0.000736682169790229,0,0.333333333333333
"Num:AR:AT:C13:MC13",3,3,16.1666666666667,0,0.00332101377241267,0,0
"Num:AR:DI:C12:MC11:DI030",1,1,0,0,0.000952607254828903,0,NA
"Num:AR:CP:C3",6,6,196.642857142857,0,0.00101453063410882,0,0.4
"Num:AR:WT:C3:MC3:WT024",1,1,0,0,0.000753637615875177,0,NA
"Num:CC",2,2,21,0,0.000741812474321289,0,0
"Num:GE:PS:C2:MC2:PS068",1,1,0,0,0.000770960750929987,0,NA
"Num:AR:NS:C5:MC4:NS112",1,1,0,0,0.000898730090788096,0,NA
"Num:AR:ML:C10",6,6,23.6333333333333,0,0.000873725795053194,0,0.266666666666667
"Num:GE:PS:C2:MC2:PS166",1,1,0,0,0.000770960750929987,0,NA
"Num:AR:NS:C7",8,8,101.5,0,0.000922117360011333,0,0.214285714285714
"Num:AR:CP:C7:MC7",6,6,27.2857142857143,0,0.00215802617584434,0,0.266666666666667
