Word,PoS,Theme,Category
Onion,noun,Vegetables,Thing
only,,,Grammatical Word
open,,,Action/Event
or,,,Grammatical Word
orange,noun,Fruits,Thing
our,,,Grammatical Word
out,adjective,,Grammatical Word
over,adverb,,Grammatical Word
own,,,Quality
Pant,noun,Clothes,Thing
papaya,noun,Fruits,Thing
parrot,noun,Birds,Thing
peacock,noun,Birds,Thing
Peas,noun,Vegetables,Thing
pen,noun,Stationery,Thing
Pencil,noun,Stationery,Thing
pick,,,Action/Event
picture,noun,,Thing
pig,noun,Animals,Thing
pigeon ,noun,Birds,Thing
pineapple,noun,Fruits,Thing
pink,noun,Color,Quality
plant,noun,Plants and Trees,Thing
plate,noun,Household Items,Thing
play,verb,,Action/Event
playground,noun,School Things,Thing
please,,,Grammatical Word
police station,noun,Common Places,Place
pomegranate,noun,Fruits,Thing
post office,noun,Common Places,Place
Potato,noun,Vegetables,Thing
pretty,,,Quality
pull,,,Grammatical Word
Pumpkin,noun,Vegetables,Thing
put,,,Action/Event
rabbit,noun,Animals,Thing
radish,noun,Vegetables,Thing
rain,noun,Nature,Thing
Rainy,adjective,Weather,Quality
ran,verb,,Action/Event
Rat,noun,Animals,Thing
read,,,Action/Event
Red,noun,Color,Quality
ribbon,noun,Clothes,Thing
rice,noun,Food,Thing
ride,verb,,Action/Event
right,adjective,Direction,Place
right,,,Place
roof,noun,Household Items,Thing
room,noun,Household Items,Thing
root,noun,Plants and Trees,Thing
round,adjective,,Quality
ruler,noun,Stationery,Thing
run,verb,,Action/Event
run,verb,,Action/Event
Sad,noun,Feelings,Quality
said,verb,,Action/Event
Sari,noun,Clothes,Thing
sat,verb,,Action/Event
saw,verb,,Action/Event
say,,,Grammatical Word
scarf,noun,Clothes,Thing
school,noun,School Things,Place
schoolbag,noun,School Things,Thing
see,verb,,Action/Event
seed,noun,Plants and Trees,Thing
seven,,,Numeral/Time
seven ,noun,Numbers,Numeral/Time
shake hands,verb,,Action/Event
shall,,,Grammatical Word
Sharpener,noun,Stationery,Thing
she,pronoun,,Person
sheep,noun,Animals,Thing
shelf,noun,Household Items,Thing
Shirt,noun,Clothes,Thing
shoe,noun,Clothes,Thing
shop,noun,Common Places,Place
short,adjective,,Quality
shorts,noun,Clothes,Thing
show,,,Grammatical Word
sing,,,Action/Event
sister,noun,Relations,Person
sit,,,Action/Event
sit ,verb,,Action/Event
six,noun,Numbers,Numeral/Time
six,,,Numeral/Time
Skirt,noun,Clothes,Thing
Sky,noun,Nature,Thing
slate,noun,Stationery,Thing
sleep,verb,,Action/Event
sleep,,,Action/Event
slipper,noun,Clothes,Thing
small,,,Quality
smell,verb,,Action/Event
so,conjunction,,Grammatical Word
soap,noun,Household Items,Thing
socks,noun,Clothes,Thing
some,adjective,,Grammatical Word
soon,adverb,,Grammatical Word
sparrow,noun,Birds,Thing
spider,noun,Insect/Fish,Thing
spoon,noun,Household Items,Thing
squirrel,noun,Animals,Thing
staircase,noun,Household Items,Thing
stand,verb,,Action/Event
start,,,Action/Event
Stomach,noun,Body Parts,Thing
